行號,原文,原文長度,重點整理,處理時間,原始_20到50字的簡述(chatgpt-5),原始_全段主題,原始_總主題,原始_Unnamed: 4
1,主席（林委員昶佐）：大家好！先感謝大家在今天這個風雨交加的天氣還都來參加今天的會議。大家應該手上都有議程或是在電腦上面都有。哇！這應該是我開所有的立法院會議裡面，第一次看到差不多每個人手上都有一台電腦的景象，所以Isabelle，你趕快把它打開。沒事，我只是說這個景象還滿驚人的、滿好的。大家手上應該都有今天的議程，在議程開始之前還是跟各位介紹一下今天的新朋友，上個禮拜他們也參加了招募之後的訓練，我想就不用介紹背景了，因為大家在之前招募過程的討論也都已經知道。首先是簡信昌，也是第一高票，對不起！我想是統統都有公布，我也不知道。接著介紹彭啟明老師、葛傳宇，聾人協會今天也是牛先生嗎？謝謝。接著介紹廖郁雯及王文岳。,307,"## 會議記錄整理

### 出現人物  
- 林委員昶佐 - 主席 - 開場致詞，感謝與會者，觀察到與會者普遍持有電腦，並主持介紹新加入成員  
- Isabelle - 技術或行政人員 - 被主席要求打開會議設備，反映會議科技設備使用狀況  
- 簡信昌 - 新加入成員 - 被提及為「第一高票」，具備較高支持度，參與招募與訓練  
- 彭啟明老師 - 新加入成員 - 參與招募訓練，具備專業背景，參與會議討論  
- 葛傳宇 - 新加入成員 - 參與招募訓練，代表特定群體參與  
- 牛先生 - 聾人協會代表 - 被提及為聾人協會成員，參與會議  
- 廖郁雯 - 新加入成員 - 參與招募訓練，出席會議  
- 王文岳 - 新加入成員 - 參與招募訓練，出席會議  

（本段無具體人物提及）

### 核心要點  
1. 會議開場強調科技使用現象，指出與會者普遍攜帶電腦，反映會議現代化與資訊透明化趨勢  
2. 成功引入多位新成員，包括簡信昌、彭啟明、葛傳宇、牛先生、廖郁雯及王文岳，展現招募與訓練成果  

### 決策事項  
- 无  

### 行動項目  
- Isabelle 被要求立即打開會議設備（如電腦或投影機）以進行議程展現  

### 總結  
本會議以科技使用現象開場，成功介紹並迎進多位新成員，展現組織的現代化與多元參與特色。",2025-09-21 00:07:19,主席林昶佐感謝與會，提及新朋友加入，並介紹簡信昌、彭啟明、葛傳宇、廖郁雯與王文岳。,「首次委員會會議：成員介紹與經費籌措討論」,「委員會首次會議：經費分擔、IRM獨立運作與五大主題分組」,
2,我們今天主要應該就是把廣泛意見的蒐集回饋整理一下。大家看一下今天的會議流程，第一個是廣泛意見蒐集的回饋，包括線上的跟北中南的Focus Group，我們都有整理起來。第二個是本委員會會議相關的開支跟經費的籌措。我知道慈庸應該覺得這個非常重要，所以把它插在「一」跟「三」之間，不然我覺得「一」完應該就是「三」才對。第三就是要把我們第一個整理出來的一些東西討論以後，應該就要分門別類放到第三個裡面，也就是我們之後的一些分組。那在9月份的時候，我們原則上應該是要把第一個版本生產出來，所以第一個版本生產出來的那個架構、提綱、分組等等就是在今天議程的第三項。第四個是關於擬定IRM機制的期程。因為我們預計11月底要完成開放國會行動方案，所以獨立報告的撰寫期程大概就從11月底以後會開始，我們在這之前可能也要稍為規劃一下期程。第五就是下次開會的時間、地點。我們是不是可以把「二」跟「三」調換一下？我們直接進入今天的重點好了。「二」如果來不及討論的話，就交給我跟慈庸再想一下。,432,"## 會議記錄整理

### 出現人物  
- 慈庸 - 委員會成員 - 提出經費籌措應插入「一」與「三」之間，並參與討論會議流程調整  
- 主持人（未具名） - 會議主持人 - 調整議程順序，提出將「二」與「三」調換，並建議將重點議題直接進入討論  

### 核心要點  
1. 廣泛意見蒐集與回饋需在9月完成第一版架構與分組規劃，包含線上與北中南Focus Group的整理成果  
2. 擬定IRM機制期程應配合11月底開放國會行動方案的時程，提前規劃獨立報告撰寫時間表  

### 決策事項  
- 會議議程調整：將「經費籌措」（原第二項）插入「廣泛意見蒐集」與「分組規劃」之間，並建議將「二」與「三」調換，直接進入重點討論  

### 行動項目  
- 由主持人與慈庸負責釐清並擬定IRM機制的撰寫期程，作為11月底後獨立報告的基礎  
- 整理廣泛意見蒐集的成果，包括線上與北中南Focus Group資料，於9月完成第一版提綱與分組架構  

### 總結  
本次會議明確規劃了意見蒐集、經費籌措、分組架構與IRM機制期程，並決定優先處理核心議題，強調9月產出第一版框架與11月底完成報告的時間節點。",2025-09-21 00:07:38,會議重點為意見回饋整理、經費籌措、分組架構、IRM期程及下次會議安排。,,,
3,主席（洪顧問慈庸）：這個應該不會花太久時間，但是因為我覺得這是必要的討論，所以我先說明一下，等一下再直接進到我們今天最重要的議程，大家同意嗎？同意。周老師找個位置，夠嗎？可以，好。我先講一下就是……這邊還有一個位置，不要害怕！坐在孫中山前面，壓力有點大。我先跟大家報告，我們第一屆的開放國會的委員會今天是第一次會議，在今天之前的都是籌備會，之前的委員都是籌備委員，今天是我們正式的第一次會議。除了19位民間的委員之外，在立法院裡面有7位，就是7個代表是行政部門的單位，包含的四個黨團以及Freddy，還有院長辦公室、國際事務小組，總共25個成員。這一個委員會其實是一個公私協力所組成的，所以它其實是一個很獨立的單位，我們針對現在這個會議相關產生的一些費用和支出先跟大家簡要說明，因為今天有新到的委員。目前我們會議的場地基本上都是用立法院的空間來進行會議，所以不會有開會的一些費用產生，我們當然就是用這邊的議事空間和行政人員的協助。先前有產生幾個費用跟大家做一個報告，一個是我們一些文件的翻譯，因為現在我們有參與OGP的一些國際的英文文件,468,"## 會議記錄整理

### 出現人物  
- 洪顧問慈庸 - 主席 - 開場說明會議性質與重要性，提出會議為第一屆開放國會委員會正式會議，並說明委員組成與費用安排  
- 周老師 - 委員 - 負責安排會議座位，確認空間足夠  
- Freddy - 委員 - 作為行政部門代表參與，屬立法院院長辦公室或國際事務小組成員  
- 7位立法院行政部門代表 - 行政部門代表 - 來自四個黨團及院長辦公室、國際事務小組，參與委員會組成  
- OGP參與團隊 - 未具體命名 - 負責國際英文文件翻譯需求  

（本段無具體人物提及）

### 核心要點  
1. 本委員會為第一屆開放國會委員會正式會議，由19位民間委員與7位立法院行政部門代表（含Freddy及院長辦公室、國際事務小組）共25人組成，屬公私協力、獨立運作的單位  
2. 會議場地使用立法院現有議事空間，無開會費用，但需進行文件翻譯（特別是OGP國際英文文件），相關支出已事先說明  

### 決策事項  
- 本會議為開放國會委員會正式首次會議，確認委員會組成與運作架構  

### 行動項目  
- 補充說明文件翻譯相關費用與執行細節（特別針對OGP英文文件）  
- 確認委員會未來會議場地與行政支援安排  

### 總結  
本次會議正式成立開放國會委員會，明確組成結構與運作基礎，並確認無開會費用，但需處理國際文件翻譯相關支出。",2025-09-21 00:08:00,洪顧問說明本委員會首次正式會議，25名成員組成，並簡要報告翻譯等相關費用。,,,
4,"像上次我們的toolkit和未來我們要把行動方案轉成英文提交的時候，都會產生翻譯的費用，這些費用現在就是由我們立法院秘書處來幫忙，所以這筆費用未來我們都已經談定了。當然現在會遇到一個問題就是，目前因為有聾人協會的參與，每次會議我們需要有翻譯人員的費用，所以未來就是會有這筆費用產生，以及到後面可能在IRM機制的時候，我們要做獨立審查可能也會產生部分的費用。
這個部分君陽在上一次的會議當中有報告，但是今天有新到任的委員，所以我們還是必須再repeat一下，就是IRM未來會產生費用，所以在這個過程當中，可能會隨著不同的時間點產生一些不同的費用。我今天希望跟大家討論的是，因為這樣的一個單位其實算是一個公私協力、大家一起來組成，它是一個獨立的單位，我會希望大家是不是討論一下未來這一個單位的一些費用，我們是不是應該去申請一些計畫來支撐這樣一個MSF日常的營運？因為我認為這個委員會即便今年過完還有下一年，然後還有下下一年等等，可能在下一屆之後它還是要維持日常的一些運作，所以我想要跟大家討論，是不是我們未來經費的部分是透過計畫來支持？這部分想要跟大家來做比較進一步的討論，看大家有沒有什麼意見？君陽要不要先說明一下那個IRM，因為有新到的委員。",521,"## 會議記錄整理

### 出現人物  
- 君陽 - 前次會議報告者 / IRM說明義務人 - 在本次會議中負責說明IRM的性質與運作，作為新任委員理解該單位背景的基礎  
- 新到任委員 - 未具體命名 - 出現於會議中，因對IRM機制不熟悉，促使主持人提出重申與討論，參與了關於費用與經費支撐的議題討論  
- 主持人（未具名） - 會議引導者 - 提出關於IRM未來運作費用的經費支撐問題，推動討論並引導委員發言  

（本段無具體人物提及）

### 核心要點  
1. IRM未來將產生持續性運作費用，包含翻譯費與獨立審查費，需長期規劃經費支持 - 由於聾人協會參與及後續獨立審查機制，未來將產生穩定且不可預期的運營成本，顯示其非短期性項目。  
2. 建議透過計畫申請方式支撐IRM日常營運 - 主持人主張應針對MSF（民間社會參與）單位的長期運作，提出經費計畫申請，以確保其持續性與穩定性，而非僅依賴現行秘書處補助。

### 決策事項  
- 本會議未形成具體決策，僅提出關於未來是否申請計畫支撐IRM日常營運的討論議題。

### 行動項目  
- 君陽需於會議後補充說明IRM的詳細運作模式、預計費用項目與來源，作為後續討論基礎。  
- 委員會應針對「是否透過計畫申請支撐IRM日常營運」進行進一步討論，並於下次會議提出明確建議。

### 總結  
會議聚焦於IRM未來將產生持續性運作費用，並提出應透過計畫申請方式建立長期經費支撐機制，以確保其穩定運作。",2025-09-21 00:08:23,洪顧問提出翻譯與聾人協會口譯等經費需求，建議未來透過申請計畫支撐委員會長期運作。,,,
5,田君陽：我是公都盟副執行長田君陽，我簡單說明一下，如果有其他補充的話，也歡迎阿端再做補充。第一件事情就是我們上禮拜我有跟阿端討論過，目前有兩個一定會要寫的IRM，就是立法院本身自己，即公部門這邊，他們會有一個由院長這邊領銜的獨立研究報告的撰寫，這是立法院官方的。另外一部分是民間版的影子報告，就是說我們針對民間版的意見，我們這邊也獨立撰寫一個獨立的IRM。我先就民間版開始說明，上次討論的結果大概是這個報告期間，第一期要完成報告遞交的時間是行動方案開始之後到首年的結束，也就是說，假設我們是明年1月1號正式把這個行動方案提交出去，我們會在第一年，就是明年12月31號前完成第一份IRM報告的提交。另外一部分是第二期的報告是每兩年一次的末段會有第二份報告去做第二次提交，也就是說在這兩個單位分別在IRM撰寫的內容之內會有四份報告需要提交。我們初步評估的經費預算大概每年是30至50萬左右，這部分的話我們有討論就是會用申請企劃的方式向民主基金會申請補足，這部分我們就看是由哪個單位領銜提出，這是我們目前的評估。有可能不是申請一次，例如同一年的50萬我們可能會拆成兩個，當然還是希望一次就可以申請到50萬為目標，,503,"## 會議記錄整理

### 出現人物  
- 田君陽 - 公都盟副執行長 - 提出民間版IRM報告的時程與經費規劃，說明立法院與民間版IRM的撰寫架構及申請方式  
- 阿端 - 未明確職稱 - 被提及為田君陽討論內容的補充對象，參與關於IRM報告時程與經費的初步討論  

### 核心要點  
1. 民間版IRM報告將分兩期提交：第一期於行動方案啟動後首年結束前（如明年12月31日）完成，第二期則每兩年一次，在末段提交，共需提交四份報告。  
2. 每年IRM撰寫預計經費為30至50萬元，計畫以申請企劃方式向民主基金會補助，目標為一次申請到位50萬元，可視情況拆分申請。

### 決策事項  
- 未明確形成決策，僅為初步評估與規劃。

### 行動項目  
- 由公都盟單位決定哪一單位領銜提出向民主基金會申請IRM經費補助的企劃書。  
- 詳細規劃兩期IRM報告的內容與提交時程，作為後續執行依據。

### 總結  
本次會議釐清民間版IRM的報告時程與經費申請架構，確立四份報告分兩期遞交的模式，並規劃透過民主基金會申請補助。",2025-09-21 00:08:40,田君陽說明IRM將有官方與民間兩版，需提交四份報告，年度經費約30至50萬，規劃向民主基金會申請資助。,「IRM經費規劃：民主基金會資助為主，民間募資為輔」,,
6,"但如果補助金額不符合預期的話，我們也會規劃到第二個單位、第三個單位去申請。不過我們還是希望因為這是立法院跟民間公私協力的報告，所以能申請的補助單位如果以公部門來說其實不多，因為畢竟還有立法院立法委員，它是受監督單位，所以我們原則還是以民主基金會為主，剩下的如果不行，可能就是再用民間募資的方式去進行，這是經費的部分，以上。
主席（洪顧問慈庸）：阿端有沒有什麼建議？
吳銘軒：就是君陽講的那樣。
主席（林委員昶佐）：我想除了君陽講的IRM，就是後面的這個報告所需要的費用以外，現在立即會遇到的當然是會議開會執行的過程會需要的一些費用，雖然這些也不是說很多，包括我們剛剛說請一些像翻譯或是協助聾人協會等請來的協助人員以外，可能都是這一類的，其實應該也不算太多，但是是不是說我們有一種可能性是把它整體包成一個計畫，然後一起去申請，而不只是針對IRM的部分？",375,"## 會議記錄整理

### 出現人物  
- 吳銘軒 - 建議者 - 提出與君陽講述內容一致的經費規劃看法，支持以民主基金會為主申請補助  
- 洪顧問慈庸 - 主席 - 問詢阿端（吳銘軒）是否有建議，引導討論經費申請策略  
- 林委員昶佐 - 主席 - 提出會議執行過程所需費用（如翻譯、聾人協會協助）的實際需求，建議整合為整體計畫申請補助  

### 核心要點  
1. 經費申請以民主基金會為主軸，若無法獲取公部門補助則轉為民間募資，強調公部門補助有限且受監督  
2. 建議將會議執行相關費用（如翻譯、協助人員）與IRM報告費用整合為一體計畫，提高申請效率與可行性  

### 決策事項  
- 本段無明確決策內容  

### 行動項目  
- 整合IRM報告與會議執行所需費用，規劃成一項整體申請計畫  
- 釐清並確認民主基金會申請補助的可行性，作為主要經費來源  

### 總結  
會議聚焦於經費來源與申請策略，決定以民主基金會為主軸，並整合各項費用提出整體計畫申請。",2025-09-21 00:08:57,討論經費來源，首選民主基金會補助，不足則考慮民間募資；主席建議將IRM與會議相關費用整合成整體計畫申請。,,,
7,耿璐：大家好，我是開放文化基金會的Lulu。我也還沒有仔細研究別的國家，不過因為畢竟這是公私協力，所以對我來說，似乎應該是公部門出一半、私部門出一半，如果是民間申請的計畫，但是要全部cover所有的費用，對我來說有點奇怪，而且其實我們去申請計畫不是一件很容易的事情，也要花費很多心力，所以如果只是全部統包由民間出這個費用，好像有點……對我來說，真的是邏輯上有點怪。,182,"## 會議記錄整理

### 出現人物  
- 耿璐 - 開放文化基金會成員 - 提出公私協力模式下資金分擔應平衡，認為民間申請計畫若需全額承擔費用，邏輯上不合理，並強調申請計畫本身耗時耗力，應由公部門與私部門共同分擔成本  

### 核心要點  
1. 公私協力計畫應採公部門與私部門各負一半費用，避免僅由民間全額承擔，以確保申請流程的公平性與可行性  
2. 民間申請計畫需投入大量心力與資源，若僅由民間負擔全部費用，存在邏輯與實務上的不合理性  

### 決策事項  
- 无  

### 行動項目  
- 无  

### 總結  
會議中提出公私協力計畫應採平衡資金分擔模式，避免民間單方面承擔全部費用，以提升計畫申請的公平性與實務可行性。",2025-09-21 00:09:08,耿璐認為經費應由公私部門各自分擔，全部仰賴民間計畫申請不僅負擔沉重，也欠缺合理性。,,,
8,田君陽：我提一個想法，其實IRM很注重利益迴避或利益衝突這件事，就連我剛剛提的那個方案應該是不能以公督盟的身分去提出，或是公督盟去申請之後，我們是要完全委託例如學術單位或第三方單位去撰寫，因為它會有一個狀況就是因為公督盟是委員本身在評價這個IRM的部分就會有實質的利益衝突，所以在手冊上面是不能這麼做的。我們在這部分還是思考一下，我覺得有兩塊，一個是立法院這邊是不是在明年之後就會有一些公務預算可以進行支應，但是支應的部分應該就是以開會這部分為主。如果是民間的部分，我還是建議分開，然後去執行跟分別募款。這可能真的還要花一點時間討論一下，因為畢竟帳目的事情到最後可能會衍生了一些討論或問題，我覺得這部分大家可以再想想。我的建議是分開，一部分是用公務預算去支應，但公務預算可能最快也是到明年，今年因為已經來不及了，所以上次例如說像國會頻道的經驗來講，前幾年其實都是民間自主，因為公務預算也不會在短期內可以支應，所以前期大部分都還是要靠民間或我們另尋其他募款的方式去執行，所以至少到明年前半年，我想這個預算可能……,455,"## 會議記錄整理

### 出現人物  
- 田君陽 - 提案者與主發言人 - 提出IRM利益迴避原則，建議公督盟不得直接參與方案撰寫，應委託第三方學術單位；並說明公務預算支應時程，強調今年無法取得預算，前期需依賴民間自主與募款，建議明年前半年前以民間方式執行  

### 核心要點  
1. IRM方案不得由公督盟直接參與撰寫，須委託學術或第三方單位，以避免評估者與撰寫者之間的利益衝突 - 強調公督盟委員若參與評估自身提出的IRM內容，將構成實質利益衝突，違反利益迴避原則。  
2. 公務預算支應時程延後至明年，今年及明年前半年應依賴民間自主與募款執行 - 基於現行預算安排與國會頻道過去經驗，短期內無法取得公務預算，故需另尋民間資源支應初期運作。  

### 決策事項  
- 本段無明確決策內容  

### 行動項目  
- 田君陽建議成立專案小組，進一步討論IRM方案的第三方委託機制與民間募款策略，並評估明年公務預算是否可支應會議運作  

### 總結  
會議聚焦於IRM方案的獨立性與財務運作模式，強調需避免利益衝突並以民間資源先行支應，待公務預算到位後再轉為公務支應。",2025-09-21 00:09:26,田君陽指出IRM須避免利益衝突，建議民間與立法院經費分開處理，短期仍以民間募資支應，公務預算最快明年才能到位。,,,
9,"如果向民主基金會申請會是比較快的，它是一年有四期，所以我們最快大概應該可以在今年年底遞件，明年初應該錢就下來，現在要討論的就是到底民間申請了這個東西是大家一起用，還是分開兩個帳目去管理，我覺得這是要討論的。第二件事情，其實這個會議應該是大家一起的，所以我覺得還是由公務預算去支應，好像比較適合，只是說評委的部分，參與會議就不適宜支領什麼其他的費用，主要還是以一些行政費用支出為標準，以上。
周韻采：我記得上次好像有說是要聘一位助理，是不是？所以這個費用也是包含在是上次……
田君陽：對，這個部分是IRM，它最少最少要有一個獨立的研究員去撰寫這個報告，那就是民間……
周韻采：可是這樣50萬夠嗎？還有一個助理的費用。
田君陽：對，我們當初估是半年期的研究助理，然後再加上一些訪談，或者是一些策製的費用，所以我們是用最保守的估計去算30到50萬，如果還要討論一些品質或者是研究員的一些資歷等等，當然費用就會有所調整。我們只是粗估一個最籠統的，大概一年是30到50左右，我們是以一個研究員的預算去做、去估。
周韻采：OK！那這個看看民主基金會暫時能夠支應多少，我個人是對經費的部分有一點想法，就是事實上我們現在這個開會，",507,"## 會議記錄整理

### 出現人物  
- 周韻采 - 會議參與者 / 經費意見提出者 - 提出對經費支應的疑問，關注助理費用是否足夠，並提及現有開會成本  
- 田君陽 - 會議參與者 / 研究預算負責人 - 說明研究團隊人力配置與經費估算，強調30至50萬為保守估計，包含研究員與助理費用  
- 民間申請者（未具名） - 預算討論對象 - 涉及民間申請是否共用帳目或分開管理的爭議  

（本段無具體人物提及）

### 核心要點  
1. 民間申請的資金管理方式需明確：討論是否應由共同帳目管理，或分開兩個帳目，以確保透明與責任分工  
2. 研究經費預算為30至50萬，涵蓋一名獨立研究員及半年期助理，屬保守估計，未來若提升品質或資歷要求將調整成本  

### 決策事項  
- 未明確決議是否由公務預算支應或民間基金會支應，僅提出公務預算較為適合的建議  
- 未決定民間申請是共用帳目或分開帳目，此為待討論事項  

### 行動項目  
- 周韻采負責確認民主基金會目前可支應的經費範圍，並與田君陽確認實際預算需求  
- 田君陽負責提供更詳細的研究人力與訪談成本構成說明，作為後續經費評估依據  

### 總結  
會議聚焦於民間申請資金管理方式與研究經費預算的可行性，提出30至50萬為初步估算，並需進一步釐清經費來源與帳目分工。",2025-09-21 00:09:48,討論經費來源與用途，建議由公務預算支應會議行政費用，民間則申請民主基金會資助研究員與助理，全年預估需30至50萬。,,,
10,"也都沒有支薪，大家都是義務參與，這個會議所衍生的一些庶務或行政費用。還有你剛剛講的研究員這個部分，我會建議應該是要用立法院的公務預算來支出。那現在這幾個月，也許短期可以看看院長在秘書處可能會有一些額度，因為我們其實除了手譯的費用或是設置中，應該暫時還沒有那麼那個，而且可能是具體要實行的時候，就是明年的時候才會有比較多的費用。我覺得民主基金會的這個部分，因為跟它的宗旨，其實它過去也獎助滿多有關於民主發展的研究，我會建議就是我們未來有一些相關的研究或是需要比較長期投入的，就是它是可以變成一個project的那種部分，可能在這個中間大家討論出來幾個子項目、子題，然後去統包跟民主基金會申請，而不是用民主基金會的經費來支應這個會議的日常庶務的運作，我覺得這樣會比較得當。
彭啟明：因為民主基金會董事長也是游院長，所以如果這個OSM是由他來支持的話，這個國際上IRM可能也不會說很糟糕啦，就是會留下一點點小辮子的感覺。我同意周執行長說的，就是可能那個研究員用一個什麼名義上，由他來支援做這個事，但庶務上可能還是獨立，可能去募款看預算多少，多或少的問題而已，但是那個人來支援可能是額外某一種計畫來做這個事，所以我建議可以切開來。謝謝。",514,"## 會議記錄整理

### 出現人物  
- 游院長 - 民主基金會董事長 / 會議參與者 - 提出以民主基金會公務預算支持研究員部分，並指出若由其個人支持可能引起國際評價上的「小辮子」感，建議分開庶務與研究支援  
- 周執行長 - 會議參與者 - 支持研究員部分應以獨立計畫名義由民主基金會支援，並同意庶務運作應獨立處理，另尋募款或預算安排  
- 彭啟明 - 會議參與者 - 認同周執行長意見，強調研究支援與庶務應「切開」，並點出民主基金會董事長為游院長，提醒國際觀感需注意  

### 核心要點  
1. 研究員部分應以獨立計畫名義由民主基金會（透過游院長）支援，避免使用其日常庶務經費，並強調需區分研究投入與行政運作。  
2. 會議庶務與行政費用應獨立於研究計畫，建議透過募款或院長秘書處短期額度處理，明確劃分責任與預算來源，以符合民主基金會宗旨與國際評價。

### 決策事項  
- 未明確作出決策，僅提出建議與方向。

### 行動項目  
- 未來規劃若干子項目與子題，由團隊討論後統包申請民主基金會支持，作為研究員計畫的長期投入。  
- 針對會議庶務與行政費用，另評估是否可透過院長秘書處短期額度或募款方式解決，並由相關單位負責規劃預算方案。

### 總結  
會議建議將研究員支援與庶務運作分離，以民主基金會獨立計畫方式支持研究，並透過專案申請與獨立預算確保透明與國際形象。",2025-09-21 00:10:10,周韻采建議研究員經費應由立法院公務預算支應，民主基金會則適合支持長期研究專案；彭啟明補充，研究員可透過特定計畫支援，庶務則另行籌款，兩者應切開處理。,「會議決議：庶務由立院支應，IRM經費由民間申請」,,
